L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_cache
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_mirage
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] except:de_overpass
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_30_seconds__b22.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_ALIEN_mountain_escape_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_ATIX_panic_b3t_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Boatescape_Extendido_p4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_COLOR_adventure_beta1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_DOOM_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_DOOM_wad_BV4_3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_ELEVATOR_escape.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_EmpireCity_v1_t.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Escape_Stroggos_b4_e1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_FFVII_Mako_Reactor_p4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Fat_house_escape_v0.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Fat_house_escape_v0_3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_LOTR_Helms_Deep_v5_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_LOTR_Helms_Deep_v5_p5.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_LOTR_Mount_Doom_p2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_L_The_Lower_v1_6.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_L_The_Lower_v1_7.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_L_The_Medium_v1_4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_L_The_Medium_v1_5.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_NIK_allinone_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PAUST_LegoRun_v1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PKMN_Adventure_v8_3f.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PKMN_Adventure_v8_4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PKMN_Adventure_v8_5b.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_PKMN_Adventure_v8_6
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_PKMN_Adventure_v8_6c
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_POTC_IV_v6_1fix.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PUTA_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PUTA_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Pipeline_escape_v1_7.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_Pipeline_escape_v1_9
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Pirates_Port_Royal_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PoR_island_b2_2_cs_gofix.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Pokemon_Rivals_a01.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Portal_Story_v3_2fixp1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_PotC_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Rooftop_Runaway1_p.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a23.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a24.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a26.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a27.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a28.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a29.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_S_A_M_a39.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] skip:ze_S_A_M_a40
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_TV_station_r3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Townscape_v[beta12][LQ].bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Townscape_v[beta16][LQ].bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_Tropical_escape_v2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_UT2004_Convoy_p2_fix.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_alien_mountain_escape_ffvii_v4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_alien_shooter_v7_ps3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_ancient_wrath_v1_2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_bastion_nav72.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_beach_escape_v1.1fix.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_beach_escape_v1_beta.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_biohazard2_rpd_004_p2.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_biohazard2_rpd_004_p3.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_biohazard2_sewer_004_p8.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_biohazard2_sewer_v4c.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_bioshock_v6_2_csgo4.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_blackmesa_escape_csgofix1.bsp
L 07/31/2018 - 17:00:56: [mapfile_clear.smx] Delete maps/ze_blackmesa_remix_p2.bsp
